image,pseudo_objects,gt_objects,matched_objects
"images/val/273278,12fa0e000d6e0de9b.jpg",9,14,9
"images/val/273278,1311ed000676aaa61.jpg",6,13,6
"images/val/273278,1340320001be76383.jpg",20,43,19
"images/val/273278,134c66000ab3231d6.jpg",10,16,10
"images/val/273278,136c9a000798343ea.jpg",12,15,12
"images/val/273278,1396fd0008de1e103.jpg",1,105,1
"images/val/273278,13ae63000b2f2e09a.jpg",4,7,4
"images/val/273278,13bf6c000000cff04.jpg",12,11,9
"images/val/273278,140ee20001a75b83a.jpg",8,33,8
"images/val/273278,1452060001ee5182a.jpg",6,7,5
"images/val/273278,14e540002e0f2f9c.jpg",8,13,7
"images/val/273278,15fa2000ba276466.jpg",5,7,4
"images/val/273278,18175000facaa853.jpg",4,12,4
"images/val/273278,1a96e0004c19aa68.jpg",5,8,4
"images/val/273278,1be12000b07a3e4b.jpg",6,6,5
"images/val/273278,21998000baf7affc.jpg",7,8,7
"images/val/273278,247fd00042d58db3.jpg",11,23,11
"images/val/273278,286180000ffcaee2.jpg",6,9,4
"images/val/273278,2a792000b29c02c8.jpg",9,10,9
"images/val/273278,2dc4c00003576794.jpg",7,13,7
"images/val/273278,2ecc0000f496618a.jpg",6,12,6
"images/val/273278,2fc68000065d85b3.jpg",25,30,25
"images/val/273278,321cb0007b58ff39.jpg",16,25,16
"images/val/273278,3549800097ae8679.jpg",3,4,1
"images/val/273278,3638d000c887b3ec.jpg",5,17,4
"images/val/273278,388230003e143747.jpg",8,9,8
"images/val/273278,3a7c4000807af33d.jpg",10,19,9
"images/val/273278,3b7ce000a7c98bea.jpg",5,28,5
"images/val/273278,3de0500057884f5d.jpg",1,4,0
"images/val/273278,40a420007ea37032.jpg",4,7,3
"images/val/273278,43cc4000c744b4fe.jpg",7,16,7
"images/val/273278,46b7900084957890.jpg",14,25,13
"images/val/273278,4bd4b00058668065.jpg",6,5,5
"images/val/273278,4e1ae0009b33eb15.jpg",15,34,15
"images/val/273278,50a4a0001d0f2ef9.jpg",19,27,18
"images/val/273278,52aa50006f8b81ed.jpg",9,15,9
"images/val/273278,55d8300021e00976.jpg",5,8,5
"images/val/273278,5b36300090587413.jpg",4,5,4
"images/val/273278,5f110003de7f037.jpg",3,9,3
"images/val/273278,60f740000203cd0a.jpg",3,3,3
"images/val/273278,64dfc0004a7185f9.jpg",9,22,9
"images/val/273278,6adc100036754b2c.jpg",7,16,7
"images/val/273278,6cbf6000c7def4d3.jpg",15,13,10
"images/val/273278,6e01600042b220ab.jpg",5,6,5
"images/val/273278,6fab20006e0ce5b5.jpg",9,14,9
"images/val/273278,733680009e6c5c00.jpg",21,36,20
"images/val/273278,75d24000e6f10189.jpg",4,7,3
"images/val/273278,76fef00087226994.jpg",16,31,14
"images/val/273278,7860c000343201ad.jpg",20,30,20
"images/val/273278,7a5a80003b68524a.jpg",37,47,31
"images/val/273278,7bb74000cef7e45f.jpg",13,18,12
"images/val/273278,7ee2b0001b548670.jpg",11,11,11
"images/val/273278,80a2100012bd0ffa.jpg",5,10,4
"images/val/273278,82b3a0008c82e1f7.jpg",22,35,17
"images/val/273278,851b9000cc09883c.jpg",12,19,12
"images/val/273278,88fee00041315d3c.jpg",41,65,40
"images/val/273278,89ccc0008e116611.jpg",15,19,15
"images/val/273278,8c14b0002952d137.jpg",61,82,60
"images/val/273278,8e3e000022a60441.jpg",8,12,7
"images/val/273278,903070004cb431f6.jpg",6,6,6
"images/val/273278,91a120003aab3f7f.jpg",6,11,6
"images/val/273278,9367000077b7ded1.jpg",8,9,8
"images/val/273278,953f6000732b79cd.jpg",7,7,7
"images/val/273278,969c90000a955e10.jpg",6,6,4
"images/val/273278,97bec00011130e10.jpg",8,10,8
"images/val/273278,9946d000fc9c5294.jpg",5,5,5
"images/val/273278,9b7fb000bc2fd66e.jpg",4,6,4
"images/val/273278,9e18d000be768cfa.jpg",14,34,12
"images/val/273278,a2e6f000f0427231.jpg",7,9,7
"images/val/273278,a3f4d000251fae92.jpg",6,9,6
"images/val/273278,aa0f00004e60e0e3.jpg",16,15,12
"images/val/273278,abd600062fc80b6.jpg",4,13,4
"images/val/273278,af67b000188f1979.jpg",4,9,4
"images/val/273278,b0bf3000c1b2af35.jpg",13,16,13
"images/val/273278,b2b9200019b22409.jpg",7,7,7
"images/val/273278,b5e4c00058c7942c.jpg",3,5,3
"images/val/273278,b69fa00063d61b90.jpg",5,4,4
"images/val/273278,b98720003a6907cf.jpg",11,14,9
"images/val/273278,bbe50000b9dfbd99.jpg",11,13,11
"images/val/273278,c0c14000c5e89c90.jpg",5,11,5
"images/val/273278,c3a23000a15b47aa.jpg",24,31,24
"images/val/273278,c6170000a3202a2d.jpg",16,57,14
"images/val/273278,c8831000cfd289ec.jpg",6,8,6
"images/val/273278,cabb200003fe73d0.jpg",6,6,6
"images/val/273278,cd31e000ff9a7472.jpg",9,10,9
"images/val/273278,cf0800008407a031.jpg",6,12,5
"images/val/273278,d1050000234c5e1a.jpg",9,14,9
"images/val/273278,d253a0000b3fd6cd.jpg",12,14,10
"images/val/273278,d52f5000ef164260.jpg",6,7,6
"images/val/273278,d6017000ccb76cd0.jpg",14,21,14
"images/val/273278,d7b770009ad6de84.jpg",7,9,7
